"NAME","DESCRIPTION","GENE_SYMBOL","GENE_TITLE","SCORE"
"ULBP2","na","null","null",-1.0447212
"HRASLS2","na","null","null",-1.0445274
"MYCBP2","na","null","null",-1.043687
"RNF122","na","null","null",-1.0429813
"CDKN2C","na","null","null",-1.0423845
"IER5","na","null","null",-1.0409867
"LINC01126","na","null","null",-1.0406879
"IFIH1","na","null","null",-1.0398811
"RIPK3","na","null","null",-1.0387056
"RELL1","na","null","null",-1.0368712
"RBM11","na","null","null",-1.0364672
"BPGM","na","null","null",-1.0354191
"PDZRN3","na","null","null",-1.0350045
"PINLYP","na","null","null",-1.0339148
"CGNL1","na","null","null",-1.0336288
"KLHL15","na","null","null",-1.0333927
"STAT5A","na","null","null",-1.0331538
"OSR1","na","null","null",-1.0324361
"TTC38","na","null","null",-1.0322942
"SOX9","na","null","null",-1.0320994
"TSPAN10","na","null","null",-1.0305686
"FZD9","na","null","null",-1.0298916
"ADAMTS5","na","null","null",-1.0294807
"PARD6B","na","null","null",-1.0274963
"MYLIP","na","null","null",-1.0266626
"NRIP3","na","null","null",-1.026385
"MMP13","na","null","null",-1.0260744
"LOC100506544","na","null","null",-1.0260625
"BCL2L14","na","null","null",-1.0257754
"PRX","na","null","null",-1.0250869
"PHACTR4","na","null","null",-1.0250105
"LRRN3","na","null","null",-1.0247952
"ADAMTS4","na","null","null",-1.0219831
"IRF7","na","null","null",-1.0219606
"C1orf74","na","null","null",-1.0214106
"CCDC117","na","null","null",-1.0211942
"S1PR3","na","null","null",-1.0207777
"OASL","na","null","null",-1.0207208
"IRF6","na","null","null",-1.0203346
"TMEM158","na","null","null",-1.0202569
"BMPER","na","null","null",-1.0197586
"DINOL","na","null","null",-1.0197431
"PCDH17","na","null","null",-1.0194002
"RBBP6","na","null","null",-1.0193199
"CX3CL1","na","null","null",-1.018998
"DDX60L","na","null","null",-1.0183631
"TRAF3IP2-AS1","na","null","null",-1.018176
"EGFLAM","na","null","null",-1.0173042
"HCAR3","na","null","null",-1.0170757
"HAPLN3","na","null","null",-1.0168915
"ITPRIP","na","null","null",-1.0166276
"TAGAP","na","null","null",-1.0160358
"RBCK1","na","null","null",-1.0158105
"HERC5","na","null","null",-1.0156012
"PRICKLE4","na","null","null",-1.0152372
"HOXA5","na","null","null",-1.0149615
"TNFSF13","na","null","null",-1.0131446
"SYNPO2","na","null","null",-1.0129478
"STAC3","na","null","null",-1.0119689
"CASP4","na","null","null",-1.0105327
"FZD4","na","null","null",-1.0097964
"PRDM1","na","null","null",-1.0089289
"HSPA6","na","null","null",-1.0079678
"HSPA7","na","null","null",-1.0077577
"RIPK2","na","null","null",-1.0076803
"CASP7","na","null","null",-1.007383
"NRIR","na","null","null",-1.0072004
"TMEM106A","na","null","null",-1.0060644
"BCL6","na","null","null",-1.0059415
"MYO1G","na","null","null",-1.005791
"TRIM56","na","null","null",-1.0050333
"PTGER4","na","null","null",-1.004725
"PLEKHA7","na","null","null",-1.0042343
"ALAS1","na","null","null",-1.003867
"AZIN2","na","null","null",-1.0029075
"VAMP1","na","null","null",-1.0027949
"ULBP3","na","null","null",-1.0026542
"NECTIN2","na","null","null",-1.001763
"CLCF1","na","null","null",-1.0014158
"FBXO39","na","null","null",-1.000277
"TRIM36","na","null","null",-1.0000305
"CLTRN","na","null","null",-0.99919754
"TGIF1","na","null","null",-0.99858147
"TENT5C","na","null","null",-0.9980166
"EGLN3","na","null","null",-0.995903
"AFAP1-AS1","na","null","null",-0.9944565
"FAM107B","na","null","null",-0.99307
"TMEM151A","na","null","null",-0.9929099
"NKX3-1","na","null","null",-0.99260384
"PTPRE","na","null","null",-0.99245334
"CKS2","na","null","null",-0.99155533
"METRNL","na","null","null",-0.98974216
"FAM83D","na","null","null",-0.9893689
"PRDM8","na","null","null",-0.9892728
"SLC35G5","na","null","null",-0.9868794
"STX11","na","null","null",-0.9865867
"CFLAR","na","null","null",-0.9862593
"HSCB","na","null","null",-0.9861703
"IFNGR2","na","null","null",-0.9859871
"DEDD2","na","null","null",-0.98409843
"KLHDC7B","na","null","null",-0.9839125
"LINC00623","na","null","null",-0.98219615
"TAF8","na","null","null",-0.9821461
"TXNIP","na","null","null",-0.98161787
"CDC42EP5","na","null","null",-0.9805035
"CPEB2","na","null","null",-0.9797409
"EFNB2","na","null","null",-0.9794252
"CPA6","na","null","null",-0.97839755
"LOC284344","na","null","null",-0.9777789
"LINC00869","na","null","null",-0.9756676
"KRT34","na","null","null",-0.974683
"KCNK5","na","null","null",-0.9741895
"ZNF503","na","null","null",-0.9729298
"CCL4L2","na","null","null",-0.972539
"KLF3-AS1","na","null","null",-0.97251284
"GCH1","na","null","null",-0.97192967
"ZC3H12C","na","null","null",-0.9715493
"GATA6","na","null","null",-0.97132176
"PLAUR","na","null","null",-0.97051895
"LOC101926889","na","null","null",-0.9704232
"ERN1","na","null","null",-0.9703041
"MAK","na","null","null",-0.9698976
"CXCL1","na","null","null",-0.96976143
"HYAL4","na","null","null",-0.96885747
"PRR15","na","null","null",-0.96777594
"RAPGEF5","na","null","null",-0.96777135
"BCL2L11","na","null","null",-0.9672381
