"NAME","DESCRIPTION","GENE_SYMBOL","GENE_TITLE","SCORE"
"KLF9","na","null","null",-2.005245
"ZMYND15","na","null","null",-1.999667
"NOD2","na","null","null",-1.997793
"USP12","na","null","null",-1.9976802
"N4BP1","na","null","null",-1.9973657
"SNPH","na","null","null",-1.9942476
"INSIG1","na","null","null",-1.9899092
"CXCL10","na","null","null",-1.9872905
"ISG20","na","null","null",-1.9833608
"CA13","na","null","null",-1.9833211
"IL15RA","na","null","null",-1.9738792
"HLA-B","na","null","null",-1.9713736
"ARID4A","na","null","null",-1.9698489
"IL6ST","na","null","null",-1.9689959
"MAN1A1","na","null","null",-1.9670348
"KDM7A","na","null","null",-1.9664816
"CCDC117","na","null","null",-1.9653586
"IFI44","na","null","null",-1.9653381
"RMI1","na","null","null",-1.9627908
"ZBTB32","na","null","null",-1.9574448
"LOC100270746","na","null","null",-1.9532732
"USP43","na","null","null",-1.9483984
"SUGT1P1","na","null","null",-1.945634
"ZC3HAV1","na","null","null",-1.9453971
"HLA-A","na","null","null",-1.9399683
"SEPT4","na","null","null",-1.938146
"CHIC2","na","null","null",-1.9379787
"SCNN1D","na","null","null",-1.9322
"NR4A2","na","null","null",-1.9320879
"NR3C1","na","null","null",-1.9303116
"CCDC80","na","null","null",-1.9299957
"CXCL2","na","null","null",-1.9296752
"RNF152","na","null","null",-1.9290166
"TXNDC16","na","null","null",-1.925247
"CYP20A1","na","null","null",-1.9204901
"RNF149","na","null","null",-1.9177039
"OSER1","na","null","null",-1.9150425
"RAB2B","na","null","null",-1.9139794
"AASS","na","null","null",-1.9131256
"C4A","na","null","null",-1.9126892
"MYLIP","na","null","null",-1.9123473
"ST8SIA4","na","null","null",-1.9118848
"ARID4B","na","null","null",-1.9097124
"GMPR","na","null","null",-1.9087243
"LINC02158","na","null","null",-1.908601
"CCL5","na","null","null",-1.906116
"C6orf141","na","null","null",-1.905865
"SNHG15","na","null","null",-1.904599
"SPAG9","na","null","null",-1.9024072
"IL7","na","null","null",-1.8968456
"LMO2","na","null","null",-1.8940684
"STX19","na","null","null",-1.8922708
"FGD2","na","null","null",-1.88895
"HIST1H1E","na","null","null",-1.8886762
"SQOR","na","null","null",-1.8863448
"LOC105379183","na","null","null",-1.8860308
"KDM7A-DT","na","null","null",-1.8855705
"ZNF773","na","null","null",-1.8852849
"STARD5","na","null","null",-1.883271
"ZNRF2","na","null","null",-1.8826511
"APOL2","na","null","null",-1.8819921
"ACTN2","na","null","null",-1.88012
"ZNF200","na","null","null",-1.8782109
"TAF4B","na","null","null",-1.8779279
"FMNL1","na","null","null",-1.8761532
"PRRT2","na","null","null",-1.8738298
"NUB1","na","null","null",-1.8730214
"CLIC2","na","null","null",-1.8728426
"LOC730101","na","null","null",-1.8728093
"SGMS2","na","null","null",-1.8721813
"SCGB2A1","na","null","null",-1.8716618
"FA2H","na","null","null",-1.8691427
"RAPH1","na","null","null",-1.8646523
"ADAMTS15","na","null","null",-1.8614422
"SLC12A7","na","null","null",-1.8612784
"IL36G","na","null","null",-1.8573314
"ZNF669","na","null","null",-1.8569887
"SRSF3","na","null","null",-1.8525085
"GABARAPL1","na","null","null",-1.8519353
"EIF5","na","null","null",-1.8468868
"RNF114","na","null","null",-1.8465322
"SLC52A3","na","null","null",-1.8437283
"ERN1","na","null","null",-1.8399836
"ITPKC","na","null","null",-1.8319366
"FAM122C","na","null","null",-1.8287185
"BHLHE40","na","null","null",-1.8246331
"SERPINI1","na","null","null",-1.8241984
"LAP3","na","null","null",-1.8232696
"CDKL5","na","null","null",-1.8204205
"UBTD2","na","null","null",-1.8194896
"SH3KBP1","na","null","null",-1.8184062
"LRRC32","na","null","null",-1.818354
"RHEBL1","na","null","null",-1.8173747
